text,sentiment
tidak menyesal beli pelayanan ini jos banget,positive
pengalaman memakai yang benar-benar puas,positive
sangat berkualitas barangnya,positive
seller baik produk awet,positive
recommended banget produknya elegan,positive
recommended sekali desain ini recommended,positive
produknya super puas dan mudah,positive
kualitasnya mantap dan super puas,positive
tidak menyesal beli packaging ini terbaik banget,positive
packaging aman bahan lezat,positive
seller baik bahan cantik,positive
sangat kokoh desainnya,positive
tidak menyesal beli fungsi ini terjangkau banget,positive
packaging rapi bahan top,positive
sangat membantu sekali pelayanan ini recommended,positive
packaging sangat elegan pasti beli lagi,positive
barang elegan sekali,positive
barang awet pengiriman super cepat,positive
seller baik kualitas halus,positive
kualitas ini sangat recommended,positive
pelayanan sangat hebat pasti beli lagi,positive
sangat sangat membantu desainnya,positive
pelayanan ini keren,positive
tidak menyesal beli bahan ini sangat puas banget,positive
seller ini puas,positive
barang halus pengiriman super cepat,positive
rugi beli seller ini kecewa banget,negative
barang lemot pengiriman telat,negative
rugi beli bahan ini rapuh banget,negative
seller cuek pengiriman lambat,negative
pelayanan ini buang uang,negative
bahan sangat kacau tidak recommended,negative
packaging bau sekali,negative
penipuan seller tidak sesuai gambar,negative
barang kasar pengiriman telat,negative
uang saya hilang seller bohong tidak ada solusi,negative
pelayanan kecewa sekali,negative
pengalaman belanja yang tidak worth it,negative
kualitas kw sekali,negative
rugi beli barang ini kacau banget,negative
packaging sangat tipis tidak recommended,negative
ini pelayanan terburuk yang pernah saya coba,negative
penipuan pelayanan tidak sesuai deskripsi,negative
pengiriman sangat lambat tidak recommended,negative
saya kecewa dengan pengiriman ini,negative
seller datang dalam kondisi jelek,negative
rugi beli toko ini bobrok banget,negative
rugi beli seller ini kacau banget,negative
sangat zonk dengan barang ini,negative
packaging tidak puas sekali,negative
penipuan seller tidak sesuai foto,negative
jangan beli di sini bahannya bobrok,negative
pelayanan rapuh sekali,negative
seller kabur seller benar-benar kecewa,negative
seller cuek pelayanan kacau,negative
seller tidak responsif pelayanan sangat buruk,negative
produk sangat lambat tidak recommended,negative
pelayanan sangat tipis tidak recommended,negative
sangat teruk dengan kualitas ini,negative
uang saya hilang pengiriman tidak berguna tidak ada solusi,negative
packaging sangat menyesal tidak recommended,negative
pengirimannya tidak jelas dan kacau,negative
pelayanannya tidak jelas dan tipis,negative
barang gila jeleknya pengiriman lama,negative
pelayanan sangat ngaco tidak recommended,negative
barang payah pengiriman lama,negative
seller cuek kurir rusak,negative
ini produk terburuk yang pernah saya beli,negative
kurir ini bau,negative
seller tidak responsif kurir sangat kecewa,negative
barang tidak jelas pengiriman lama,negative
pengalaman memakai yang abal-abal,negative
sellernya kotor dan palsu semua,negative
jangan beli di sini packagingnya benar-benar kecewa,negative
produk teruk sekali,negative
pengalaman memakai yang nyesel beli,negative
pengalaman belanja yang mudah rusak,negative
barang payah pengiriman sangat lama,negative
ini kualitas terburuk yang pernah saya coba,negative
ini kualitas terburuk yang pernah saya punya,negative
sangat tidak berfungsi dengan toko ini,negative
barang sangat rapuh tidak recommended,negative
saya menyesal dengan barang ini,negative
sellernya kotor dan payah,negative
produk kasar sekali,negative
jangan beli di sini kurirnya sangat kecewa,negative
saya kecewa dengan kualitas ini,negative
uang saya hilang kurir rapuh tidak ada solusi,negative
saya kecewa dengan seller ini,negative
seller sangat buang uang tidak recommended,negative
uang saya hilang packaging buang uang tidak ada solusi,negative
barang ini tidak puas,negative
seller sangat kotor tidak recommended,negative
saya kesal dengan kualitas ini,negative
produk ini kasar,negative
pengalaman memakai yang kasar,negative
produk sangat mahal tidak recommended,negative
jangan beli di sini pelayanannya bau,negative
penipuan kualitas tidak sesuai deskripsi,negative
rugi beli produk ini tidak puas banget,negative
kurir ini kacau,negative
saya menyesal dengan toko ini,negative
barangnya mengecewakan dan rugi,negative
pengalaman memakai yang zonk,negative
seller kabur pelayanan mahal,negative
jangan beli di sini kualitasnya mudah rusak,negative
kualitas sangat payah tidak recommended,negative
saya kesal dengan toko ini,negative
jangan beli di sini tokonya rusak,negative
produk ini lemot,negative
seller sangat payah tidak recommended,negative
barang rugi pengiriman lama,negative
rugi beli kurir ini rapuh banget,negative
sangat tidak puas dengan kurir ini,negative
penipuan packaging tidak sesuai foto,negative
rugi beli toko ini rugi banget,negative
seller sangat bobrok tidak recommended,negative
sellernya jelek dan tidak berfungsi,negative
rugi beli barang ini sangat kecewa banget,negative
barang tipis pengiriman telat,negative
ini produk terburuk yang pernah saya coba,negative
kurir datang dalam kondisi bobrok,negative
saya kesal dengan produk ini,negative
barang nyesel beli pengiriman lama,negative
kurir sangat mengecewakan tidak recommended,negative
sangat palsu semua dengan pengiriman ini,negative
kurir ini lambat,negative
rugi beli bahan ini payah banget,negative
jangan beli di sini pengirimannya sangat kecewa,negative
kurir sangat nyesel beli tidak recommended,negative
sangat parah dengan pengiriman ini,negative
kualitas sangat kw tidak recommended,negative
pengalaman memakai yang rapuh,negative
sangat benar-benar kecewa dengan toko ini,negative
rugi beli toko ini tidak berguna banget,negative
seller cuek kurir nyesel beli,negative
saya kecewa dengan packaging ini,negative
packaging sangat tipu tidak recommended,negative
packagingnya palsu dan buang uang,negative
rugi beli seller ini tidak berguna banget,negative
packaging sangat kasar tidak recommended,negative
kurir palsu semua sekali,negative
bahan sangat tidak puas tidak recommended,negative
ini kualitas terburuk yang pernah saya beli,negative
produknya kasar dan menyesal,negative
rugi beli seller ini abal-abal banget,negative
sellernya palsu dan bohong,negative
ini toko terburuk yang pernah saya punya,negative
uang saya hilang toko amis tidak ada solusi,negative
sangat mahal dengan kurir ini,negative
penipuan kurir tidak sesuai gambar,negative
saya kecewa dengan toko ini,negative
saya kesal dengan pengiriman ini,negative
barang ini sangat kecewa,negative
rugi beli seller ini mahal banget,negative
seller tidak responsif produk kacau,negative
uang saya hilang pelayanan sangat kecewa tidak ada solusi,negative
seller bohong seller abal-abal,negative
saya menyesal dengan kualitas ini,negative
produknya menyesal dan abal-abal,negative
barang tipu pengiriman telat,negative
penipuan produk tidak sesuai gambar,negative
jangan beli di sini pelayanannya rusak,negative
ini bahan terburuk yang pernah saya punya,negative
sangat kasar dengan produk ini,negative
packaging ini bobrok,negative
barang mahal pengiriman sangat lama,negative
sellernya abal-abal dan gila jeleknya,negative
seller sangat lemot tidak recommended,negative
pengirimannya lambat dan mudah rusak,negative
sangat benar-benar kecewa dengan packaging ini,negative
penipuan pelayanan tidak sesuai gambar,negative
barang palsu semua pengiriman lama,negative
sangat zonk dengan bahan ini,negative
ini bahan terburuk yang pernah saya coba,negative
rugi beli barang ini tidak puas banget,negative
seller kabur pelayanan lemot,negative
pengalaman memakai yang kotor,negative
packaging ini mengecewakan,negative
saya menyesal dengan packaging ini,negative
rugi beli packaging ini ngaco banget,negative
kualitasnya kotor dan cacat,negative
seller kabur seller tipis,negative
sangat tidak puas dengan toko ini,negative
uang saya hilang packaging lambat tidak ada solusi,negative
seller cuek kualitas zonk,negative
saya kecewa dengan pelayanan ini,negative
pengalaman belanja yang benar-benar kecewa,negative
penipuan kurir tidak sesuai deskripsi,negative
jangan beli di sini tokonya nyesel beli,negative
toko datang dalam kondisi kw,negative
ini pengiriman terburuk yang pernah saya beli,negative
seller kabur toko tidak worth it,negative
kualitas sangat kecewa tidak recommended,negative
uang saya hilang kurir lambat tidak ada solusi,negative
toko ini rugi,negative
pengiriman ngaco sekali,negative
pengalaman belanja yang rugi,negative
sangat rugi dengan bahan ini,negative
pengalaman belanja yang kacau,negative
pengalaman memakai yang jelek,negative
jangan beli di sini packagingnya buruk,negative
penipuan pengiriman tidak sesuai foto,negative
produk sangat buruk sekali,negative
rugi beli barang ini gila jeleknya banget,negative
barang ini nyesel beli,negative
packaging ini sangat kecewa,negative
sangat lemot dengan bahan ini,negative
rugi beli bahan ini tidak worth it banget,negative
toko lemot sekali,negative
seller cuek barang sampah,negative
bahan sangat parah tidak recommended,negative
sangat tipu dengan produk ini,negative
produk datang dalam kondisi tipis,negative
pengalaman memakai yang gila jeleknya,negative
jangan beli di sini pengirimannya kotor,negative
pengalaman memakai yang payah,negative
pengirimannya lambat dan rusak,negative
bahan datang dalam kondisi zonk,negative
produk datang dalam kondisi kotor,negative
saya kecewa dengan barang ini,negative
barang rusak pengiriman sangat lama,negative
barang palsu semua pengiriman telat,negative
penipuan produk tidak sesuai deskripsi,negative
pengalaman belanja yang gila jeleknya,negative
ini kurir terburuk yang pernah saya punya,negative
barang amburadul pengiriman telat,negative
pelayanannya kw dan parah,negative
produknya kacau dan ngaco,negative
uang saya hilang pelayanan tidak jelas tidak ada solusi,negative
seller bohong toko buang uang,negative
kualitas ini abal-abal,negative
seller bohong toko rapuh,negative
penipuan bahan tidak sesuai deskripsi,negative
sangat tipis dengan bahan ini,negative
sangat gila jeleknya dengan seller ini,negative
ini pelayanan terburuk yang pernah saya punya,negative
uang saya hilang produk kacau tidak ada solusi,negative
jangan beli di sini bahannya kacau,negative
pelayanan sangat mengecewakan tidak recommended,negative
saya menyesal dengan pengiriman ini,negative
rugi beli barang ini tidak worth it banget,negative
pengiriman sangat cacat tidak recommended,negative
bahannya palsu semua dan amburadul,negative
barang rusak pengiriman lama,negative
uang saya hilang produk palsu tidak ada solusi,negative
uang saya hilang pengiriman lambat tidak ada solusi,negative
penipuan kurir tidak sesuai foto,negative
kualitas sangat kasar tidak recommended,negative
jangan beli di sini sellernya gila jeleknya,negative
seller cuek packaging bau,negative
rugi beli toko ini buang uang banget,negative
pengalaman belanja yang nyesel beli,negative
kualitas datang dalam kondisi palsu,negative
rugi beli kualitas ini sangat kecewa banget,negative
kurir ini tipu,negative
tokonya ngaco dan ngaco,negative
sangat bohong dengan kualitas ini,negative
saya menyesal dengan kurir ini,negative
ini pengiriman terburuk yang pernah saya punya,negative
kualitas sangat bau tidak recommended,negative
seller datang dalam kondisi abal-abal,negative
penipuan seller tidak sesuai deskripsi,negative
sangat tidak berguna dengan pelayanan ini,negative
sangat gila jeleknya dengan produk ini,negative
produk sangat kecewa tidak recommended,negative
jangan beli di sini pelayanannya tidak jelas,negative
pengiriman ini rugi,negative
pengalaman memakai yang cacat,negative
barang tidak jelas pengiriman telat,negative
uang saya hilang kurir nyesel beli tidak ada solusi,negative
seller bohong produk buruk,negative
toko sangat sangat kecewa tidak recommended,negative
produk ini parah,negative
produknya rugi dan palsu semua,negative
jangan beli di sini pelayanannya mahal,negative
uang saya hilang barang parah tidak ada solusi,negative
sangat kotor dengan pengiriman ini,negative
barang parah pengiriman sangat lama,negative
bahan datang dalam kondisi menyesal,negative
rugi beli bahan ini benar-benar kecewa banget,negative
barang kotor pengiriman telat,negative
seller kabur barang tidak puas,negative
pengalaman belanja yang tidak jelas,negative
pelayanan ini menyesal,negative
kualitas datang dalam kondisi bobrok,negative
ini barang terburuk yang pernah saya coba,negative
uang saya hilang produk tipu tidak ada solusi,negative
saya kesal dengan kurir ini,negative
pengalaman memakai yang rusak,negative
uang saya hilang barang palsu semua tidak ada solusi,negative
uang saya hilang packaging gila jeleknya tidak ada solusi,negative
barang kw pengiriman lama,negative
sangat rapuh dengan produk ini,negative
saya kesal dengan pelayanan ini,negative
bahan datang dalam kondisi kecewa,negative
pelayanannya bobrok dan kotor,negative
barang mengecewakan pengiriman telat,negative
uang saya hilang toko mudah rusak tidak ada solusi,negative
jangan beli di sini pelayanannya menyesal,negative
kualitas sangat cacat tidak recommended,negative
bahan tipu sekali,negative
ini barang terburuk yang pernah saya punya,negative
barang zonk pengiriman telat,negative
jangan beli di sini kualitasnya jelek,negative
seller cuek seller buang uang,negative
jangan beli di sini bahannya sampah,negative
seller bohong barang zonk,negative
pengirimannya kecewa dan menyesal,negative
pelayanannya mengecewakan dan tidak jelas,negative
sangat mengecewakan dengan kualitas ini,negative
rugi beli barang ini menyesal banget,negative
packaging ini tidak worth it,negative
rugi beli packaging ini mahal banget,negative
sangat menyesal dengan pelayanan ini,negative
jangan beli di sini sellernya kacau,negative
produk menyesal sekali,negative
rugi beli toko ini menyesal banget,negative
barang amburadul pengiriman sangat lama,negative
ini bahan terburuk yang pernah saya beli,negative
bahannya mengecewakan dan menyesal,negative
penipuan toko tidak sesuai gambar,negative
barang parah pengiriman lama,negative
seller bohong pelayanan lemot,negative
packagingnya amis dan buang uang,negative
sangat kecewa dengan pelayanan ini,negative
jangan beli di sini packagingnya sangat kecewa,negative
sellernya kecewa dan tidak berfungsi,negative
pengirimannya tidak jelas dan buang uang,negative
barang zonk pengiriman lama,negative
pengalaman belanja yang lemot,negative
produknya tidak puas dan mudah rusak,negative
kualitas datang dalam kondisi tidak worth it,negative
rugi beli bahan ini abal-abal banget,negative
barang lemot pengiriman sangat lama,negative
rugi beli kurir ini bohong banget,negative
pengalaman memakai yang sampah,negative
jangan beli di sini kualitasnya kasar,negative
pengiriman datang dalam kondisi rapuh,negative
jangan beli di sini packagingnya tidak puas,negative
rugi beli barang ini bobrok banget,negative
sangat palsu semua dengan toko ini,negative
seller ini palsu,negative
pengalaman memakai yang kecewa,negative
pengirimannya bau dan kw,negative
sangat sangat buruk dengan bahan ini,negative
seller amburadul sekali,negative
bahan sangat gila jeleknya tidak recommended,negative
kualitas ini gila jeleknya,negative
pengiriman kw sekali,negative
seller cuek pelayanan abal-abal,negative
barang rusak pengiriman telat,negative
seller bohong kualitas sangat buruk,negative
produk mahal sekali,negative
pengirimannya rugi dan parah,negative
kurir sangat bobrok tidak recommended,negative
jangan beli di sini sellernya palsu semua,negative
rugi beli produk ini nyesel beli banget,negative
packaging sangat kecewa sekali,negative
uang saya hilang barang lambat tidak ada solusi,negative
kualitasnya benar-benar kecewa dan palsu,negative
seller sangat tidak berguna tidak recommended,negative
packaging rusak sekali,negative
barang datang dalam kondisi jelek,negative
pelayanan kotor sekali,negative
pelayanan sangat kacau tidak recommended,negative
sangat mudah rusak dengan toko ini,negative
jangan beli di sini sellernya tipu,negative
bahan datang dalam kondisi tidak jelas,negative
sangat sampah dengan bahan ini,negative
jangan beli di sini produknya zonk,negative
uang saya hilang pengiriman tidak worth it tidak ada solusi,negative
barang sangat buruk pengiriman sangat lama,negative
pengiriman ini palsu,negative
barangnya bobrok dan mahal,negative
toko datang dalam kondisi sampah,negative
rugi beli kualitas ini bohong banget,negative
pengalaman belanja yang bau,negative
seller bohong toko tidak jelas,negative
rugi beli kurir ini mengecewakan banget,negative
barang tidak puas pengiriman telat,negative
kualitas tidak berguna sekali,negative
ini seller terburuk yang pernah saya coba,negative
sangat palsu semua dengan packaging ini,negative
uang saya hilang kurir ngaco tidak ada solusi,negative
pengiriman tipis sekali,negative
pelayanan tidak berfungsi sekali,negative
penipuan pelayanan tidak sesuai foto,negative
jangan beli di sini bahannya amburadul,negative
sangat bobrok dengan bahan ini,negative
jangan beli di sini pelayanannya buang uang,negative
seller tidak responsif toko teruk,negative
pengalaman memakai yang lemot,negative
sangat rapuh dengan seller ini,negative
barang cacat pengiriman sangat lama,negative
seller ini lemot,negative
seller sangat sangat kecewa tidak recommended,negative
seller bohong bahan tidak worth it,negative
pengalaman belanja yang menyesal,negative
barang jelek pengiriman lama,negative
produknya amis dan tipu,negative
packaging sangat teruk tidak recommended,negative
seller datang dalam kondisi bobrok,negative
barang sangat bobrok tidak recommended,negative
packaging gila jeleknya sekali,negative
pengalaman belanja yang sangat buruk,negative
ini produk terburuk yang pernah saya punya,negative
kualitasnya menyesal dan tidak worth it,negative
ini barang terburuk yang pernah saya beli,negative
penipuan kualitas tidak sesuai foto,negative
barang tidak jelas pengiriman sangat lama,negative
sangat zonk dengan pelayanan ini,negative
pengiriman datang dalam kondisi palsu,negative
produk datang dalam kondisi bobrok,negative
rugi beli toko ini amis banget,negative
rugi beli packaging ini kasar banget,negative
barang amis pengiriman telat,negative
uang saya hilang barang lemot tidak ada solusi,negative
bahan datang dalam kondisi cacat,negative
pelayanannya lemot dan kotor,negative
sangat rapuh dengan pengiriman ini,negative
bahan datang dalam kondisi buang uang,negative
sangat bobrok dengan packaging ini,negative
barang tidak puas sekali,negative
packaging sangat tidak berfungsi tidak recommended,negative
barang buruk pengiriman telat,negative
seller tidak jelas sekali,negative
seller cuek barang gila jeleknya,negative
jangan beli di sini pengirimannya sangat buruk,negative
kualitasnya kasar dan mudah rusak,negative
kurir sangat lemot tidak recommended,negative
barang buang uang pengiriman sangat lama,negative
uang saya hilang produk rusak tidak ada solusi,negative
seller jelek sekali,negative
pelayanan tidak worth it sekali,negative
uang saya hilang packaging teruk tidak ada solusi,negative
ini packaging terburuk yang pernah saya beli,negative
seller cuek packaging menyesal,negative
rugi beli pelayanan ini cacat banget,negative
jangan beli di sini packagingnya tipu,negative
jangan beli di sini barangnya mahal,negative
pengiriman ini nyesel beli,negative
pelayanan ngaco sekali,negative
saya kesal dengan seller ini,negative
produk ini mudah rusak,negative
pengiriman mengecewakan sekali,negative
barang mahal sekali,negative
rugi beli kualitas ini tipis banget,negative
sangat mengecewakan dengan pelayanan ini,negative
seller tidak responsif barang parah,negative
seller tidak responsif seller tidak berguna,negative
barang palsu semua pengiriman sangat lama,negative
barang datang dalam kondisi ngaco,negative
jangan beli di sini kualitasnya lemot,negative
produk datang dalam kondisi kw,negative
uang saya hilang packaging palsu tidak ada solusi,negative
kurir sangat rugi tidak recommended,negative
saya kesal dengan bahan ini,negative
produknya kotor dan buang uang,negative
jangan beli di sini barangnya kotor,negative
pengalaman belanja yang parah,negative
uang saya hilang produk tidak berfungsi tidak ada solusi,negative
uang saya hilang kualitas lemot tidak ada solusi,negative
rugi beli toko ini palsu semua banget,negative
sangat nyesel beli dengan barang ini,negative
kurir ini kecewa,negative
packaging ini palsu,negative
produk ini tidak puas,negative
packaging sangat tidak jelas tidak recommended,negative
penipuan toko tidak sesuai deskripsi,negative
jangan beli di sini bahannya menyesal,negative
seller tidak responsif packaging menyesal,negative
barangnya rugi dan palsu,negative
pelayanan datang dalam kondisi gila jeleknya,negative
rugi beli bahan ini ngaco banget,negative
seller kabur packaging sangat buruk,negative
penipuan pengiriman tidak sesuai gambar,negative
saya kecewa dengan bahan ini,negative
seller zonk sekali,negative
seller tidak responsif barang buruk,negative
rugi beli toko ini parah banget,negative
packaging datang dalam kondisi teruk,negative
rugi beli pelayanan ini amis banget,negative
penipuan barang tidak sesuai gambar,negative
rugi beli bahan ini amis banget,negative
barang sangat bau tidak recommended,negative
seller benar-benar kecewa sekali,negative
pengalaman belanja yang tidak berfungsi,negative
sangat bau dengan barang ini,negative
uang saya hilang kurir palsu semua tidak ada solusi,negative
produk ini kotor,negative
seller ini tidak berfungsi,negative
jangan beli di sini pelayanannya sampah,negative
bahan datang dalam kondisi tipu,negative
rugi beli pengiriman ini sangat kecewa banget,negative
uang saya hilang kualitas amis tidak ada solusi,negative
rugi beli barang ini rugi banget,negative
seller kabur pelayanan tipu,negative
toko datang dalam kondisi rusak,negative
jangan beli di sini barangnya benar-benar kecewa,negative
ini packaging terburuk yang pernah saya punya,negative
packaging datang dalam kondisi zonk,negative
barang buang uang pengiriman lama,negative
sangat buruk dengan bahan ini,negative
pengiriman ini gila jeleknya,negative
rugi beli produk ini mudah rusak banget,negative
bahan ini tipis,negative
pengiriman parah sekali,negative
saya menyesal dengan seller ini,negative
pelayanan ini amis,negative
produk tipu sekali,negative
uang saya hilang toko sangat kecewa tidak ada solusi,negative
penipuan barang tidak sesuai foto,negative
seller bohong barang ngaco,negative
seller tidak responsif pengiriman kasar,negative
kualitasnya tidak puas dan rapuh,negative
rugi beli seller ini amis banget,negative
sangat ngaco dengan barang ini,negative
sangat mahal dengan pelayanan ini,negative
jangan beli di sini barangnya gila jeleknya,negative
rugi beli pengiriman ini tidak worth it banget,negative
sellernya bau dan lambat,negative
pelayanan palsu semua sekali,negative
kurirnya rusak dan palsu,negative
pengiriman tidak berguna sekali,negative
jangan beli di sini tokonya cacat,negative
seller cuek packaging sampah,negative
bahan ini tidak worth it,negative
toko sangat kotor tidak recommended,negative
seller mahal sekali,negative
pelayanan datang dalam kondisi lambat,negative
produk ini tipu,negative
sangat bohong dengan bahan ini,negative
rugi beli barang ini ngaco banget,negative
barang bau pengiriman lama,negative
barang ini bohong,negative
uang saya hilang seller lemot tidak ada solusi,negative
kualitas lambat sekali,negative
seller ini cacat,negative
bahan ini palsu semua,negative
jangan beli di sini pelayanannya tidak berguna,negative
sellernya payah dan rusak,negative
saya kesal dengan packaging ini,negative
pengalaman memakai yang kacau,negative
bahannya lemot dan sangat kecewa,negative
produk datang dalam kondisi mengecewakan,negative
kualitas datang dalam kondisi nyesel beli,negative
uang saya hilang kurir rugi tidak ada solusi,negative
sangat jelek dengan kualitas ini,negative
barang tipu pengiriman lama,negative
uang saya hilang packaging cacat tidak ada solusi,negative
seller datang dalam kondisi parah,negative
rugi beli kurir ini tipu banget,negative
sangat mahal dengan pengiriman ini,negative
seller tidak responsif packaging gila jeleknya,negative
barang mengecewakan pengiriman sangat lama,negative
uang saya hilang pelayanan sampah tidak ada solusi,negative
kualitas datang dalam kondisi ngaco,negative
kualitas ini bobrok,negative
barang payah pengiriman telat,negative
pelayanannya buang uang dan rusak,negative
seller sangat buruk tidak recommended,negative
pelayanan datang dalam kondisi mudah rusak,negative
produk ini payah,negative
jangan beli di sini kurirnya mahal,negative
rugi beli packaging ini rapuh banget,negative
sangat teruk dengan bahan ini,negative
rugi beli pelayanan ini kacau banget,negative
packagingnya lemot dan sampah,negative
penipuan produk tidak sesuai foto,negative
pelayanan ini amburadul,negative
seller kabur seller payah,negative
rugi beli barang ini kotor banget,negative
rugi beli kualitas ini teruk banget,negative
seller kabur kualitas tidak worth it,negative
saya kesal dengan barang ini,negative
jangan beli di sini sellernya sangat kecewa,negative
sangat sangat kecewa dengan seller ini,negative
uang saya hilang bahan tidak berguna tidak ada solusi,negative
bahan sangat mahal tidak recommended,negative
seller tidak responsif pelayanan tidak worth it,negative
kualitas ini bau,negative
barang mudah rusak sekali,negative
uang saya hilang barang mudah rusak tidak ada solusi,negative
barang zonk pengiriman sangat lama,negative
seller tidak responsif kurir sangat buruk,negative
sangat cacat dengan barang ini,negative
rugi beli pengiriman ini bohong banget,negative
jangan beli di sini tokonya gila jeleknya,negative
packagingnya tipis dan kotor,negative
produk tidak puas sekali,negative
barang kacau pengiriman sangat lama,negative
sangat cacat dengan kualitas ini,negative
bahan ini menyesal,negative
kurirnya nyesel beli dan bohong,negative
produk palsu sekali,negative
sangat tidak jelas dengan packaging ini,negative
seller lambat sekali,negative
bahannya nyesel beli dan buang uang,negative
tidak mengecewakan saja barang ini untuk pemula,neutral
tidak terlalu wow saja seller ini untuk pemula,neutral
cukup baik dengan seller ini,neutral
pengiriman normal toko lumayan,neutral
toko sudah sampai tidak ada masalah,neutral
pengiriman sudah sampai tidak mengecewakan,neutral
seller biasa saja pelayanan standar,neutral
harga tidak terlalu wow untuk harganya,neutral
tidak ada masalah dengan pengiriman ini tidak terlalu wow,neutral
seller ini biasa aja,neutral
tidak ada masalah dengan toko ini cukup puas,neutral
tokonya tidak istimewa tidak ada yang spesial,neutral
seller lumayan untuk harganya,neutral
kualitas rata-rata biasa aja,neutral
seller standar pelayanan standar,neutral
pelayanan berfungsi normal,neutral
pengirimannya normal tidak ada yang spesial,neutral
seller ini cukup oke,neutral
mayoritas oke saja pengiriman ini untuk pemula,neutral
normal saja kualitas ini untuk pemula,neutral
pengiriman biasa barang cukup oke,neutral
tidak ada masalah dengan seller ini tidak terlalu wow,neutral
pengiriman standar toko biasa saja,neutral
beli seller ini standar tidak kecewa tidak juga wow,neutral
tidak ada masalah dengan pelayanan ini normal,neutral
seller standar barang standar,neutral
seller biasa saja kualitas tidak terlalu wow,neutral
pengiriman standar kualitas cukup,neutral
b aja saja toko ini untuk pemula,neutral
pelayanan ini tidak mengecewakan,neutral
tidak ada masalah dengan pelayanan ini lumayan lah,neutral
seller standar seller lumayan,neutral
tidak ada masalah dengan harga ini cukup baik,neutral
toko ini tidak mengecewakan,neutral
pengiriman normal harga tidak istimewa,neutral
kualitas sudah sampai b aja,neutral
beli barang ini cukup baik tidak kecewa tidak juga wow,neutral
cukup baik dengan toko ini,neutral
pengiriman standar seller lumayan lah,neutral
cukup oke saja pengiriman ini untuk pemula,neutral
pengiriman berfungsi baik,neutral
beli toko ini biasa aja tidak kecewa tidak juga wow,neutral
pengiriman normal pelayanan cukup oke,neutral
seller sudah sampai normal,neutral
kualitas rata-rata biasa saja,neutral
cukup oke dengan pengiriman ini,neutral
pengiriman ini lumayan,neutral
produk berfungsi baik,neutral
beli pengiriman ini tidak mengecewakan tidak kecewa tidak juga wow,neutral
pengiriman standar seller standar,neutral
biasa saja saja pengiriman ini untuk pemula,neutral
pengiriman standar toko tidak ada yang spesial,neutral
harga berfungsi baik,neutral
cukup baik dengan barang ini,neutral
produk sudah sampai cukup,neutral
pelayanan ini cukup puas,neutral
pengirimannya cukup baik tidak ada yang spesial,neutral
sesuai harga saja kualitas ini untuk pemula,neutral
mayoritas oke saja produk ini untuk pemula,neutral
biasa saja saja toko ini untuk pemula,neutral
cukup puas dengan pelayanan ini,neutral
seller biasa saja pengiriman tidak mengecewakan,neutral
seller cukup ramah kualitas mayoritas oke,neutral
tidak ada masalah dengan harga ini tidak ada masalah,neutral
pengiriman sudah sampai tidak ada masalah,neutral
seller sudah sampai cukup puas,neutral
produk biasa aja untuk harganya,neutral
so-so saja kualitas ini untuk pemula,neutral
barang sudah sampai b aja,neutral
harga tidak mengecewakan untuk harganya,neutral
rata-rata saja kualitas ini untuk pemula,neutral
kualitas sudah sampai sesuai harga,neutral
cukup puas dengan pengiriman ini,neutral
seller ini rata-rata,neutral
normal saja produk ini untuk pemula,neutral
b aja saja kualitas ini untuk pemula,neutral
seller sudah sampai cukup,neutral
tidak ada masalah dengan produk ini cukup puas,neutral
beli pengiriman ini rata-rata tidak kecewa tidak juga wow,neutral
beli pengiriman ini tidak terlalu wow tidak kecewa tidak juga wow,neutral
b aja saja harga ini untuk pemula,neutral
kualitas standar tidak ada yang spesial,neutral
tidak terlalu wow saja pelayanan ini untuk pemula,neutral
cukup puas dengan kualitas ini,neutral
beli pelayanan ini rata-rata tidak kecewa tidak juga wow,neutral
pengiriman normal kualitas mayoritas oke,neutral
pengiriman standar kualitas cukup puas,neutral
toko sudah sampai standar,neutral
produk berfungsi biasa,neutral
seller standar barang b aja,neutral
barangnya cukup tidak ada yang spesial,neutral
kualitas standar mayoritas oke,neutral
pelayanan ini normal,neutral
harganya mayoritas oke tidak ada yang spesial,neutral
seller cukup ramah pelayanan rata-rata,neutral
beli pelayanan ini cukup oke tidak kecewa tidak juga wow,neutral
harga berfungsi biasa,neutral
cukup baik dengan produk ini,neutral
pelayanannya cukup puas tidak ada yang spesial,neutral
cukup puas dengan seller ini,neutral
mayoritas oke saja seller ini untuk pemula,neutral
tidak ada masalah dengan toko ini cukup,neutral
produk ini tidak terlalu wow,neutral
harganya biasa saja tidak ada yang spesial,neutral
pengiriman biasa pengiriman biasa saja,neutral
harganya tidak istimewa tidak ada yang spesial,neutral
cukup oke dengan seller ini,neutral
kualitas rata-rata tidak istimewa,neutral
cukup oke dengan produk ini,neutral
kualitas sudah sampai tidak ada masalah,neutral
beli harga ini mayoritas oke tidak kecewa tidak juga wow,neutral
normal saja harga ini untuk pemula,neutral
harga berfungsi normal,neutral
produknya cukup puas tidak ada yang spesial,neutral
kualitas sesuai harga standar,neutral
pengiriman biasa produk cukup,neutral
tidak mengecewakan saja produk ini untuk pemula,neutral
seller biasa saja barang biasa saja,neutral
barang ini mayoritas oke,neutral
seller berfungsi normal,neutral
kualitas standar b aja,neutral
beli pelayanan ini sesuai harga tidak kecewa tidak juga wow,neutral
beli produk ini tidak istimewa tidak kecewa tidak juga wow,neutral
tidak ada masalah dengan barang ini biasa aja,neutral
