text,clean_text,sentiment
seller kabur seller benar-benar kecewa,seller kabur seller benarbenar kecewa,negative
seller cuek pelayanan kacau,seller cuek layan kacau,negative
seller tidak responsif pelayanan sangat buruk,seller responsif layan sangat buruk,negative
produk sangat lambat tidak recommended,produk sangat lambat recommended,negative
pelayanan sangat tipis tidak recommended,layan sangat tipis recommended,negative
sangat teruk dengan kualitas ini,sangat teruk kualitas,negative
uang saya hilang pengiriman tidak berguna tidak ada solusi,uang hilang kirim guna ada solusi,negative
packaging sangat menyesal tidak recommended,packaging sangat sesal recommended,negative
pengirimannya tidak jelas dan kacau,kirim jelas kacau,negative
pelayanannya tidak jelas dan tipis,layan jelas tipis,negative
barang gila jeleknya pengiriman lama,barang gila jelek kirim lama,negative
pelayanan sangat ngaco tidak recommended,layan sangat ngaco recommended,negative
barang payah pengiriman lama,barang payah kirim lama,negative
seller cuek kurir rusak,seller cuek kurir rusak,negative
ini produk terburuk yang pernah saya beli,produk buruk pernah beli,negative
kurir ini bau,kurir bau,negative
seller tidak responsif kurir sangat kecewa,seller responsif kurir sangat kecewa,negative
barang tidak jelas pengiriman lama,barang jelas kirim lama,negative
pengalaman memakai yang abal-abal,alam pakai abalabal,negative
sellernya kotor dan palsu semua,sellernya kotor palsu semua,negative
jangan beli di sini packagingnya benar-benar kecewa,jangan NOT_beli NOT_sini packagingnya benarbenar kecewa,negative
produk teruk sekali,produk teruk sekali,negative
pengalaman memakai yang nyesel beli,alam pakai nyesel beli,negative
pengalaman belanja yang mudah rusak,alam belanja mudah rusak,negative
barang payah pengiriman sangat lama,barang payah kirim sangat lama,negative
ini kualitas terburuk yang pernah saya coba,kualitas buruk pernah coba,negative
ini kualitas terburuk yang pernah saya punya,kualitas buruk pernah punya,negative
sangat tidak berfungsi dengan toko ini,sangat fungsi toko,negative
barang sangat rapuh tidak recommended,barang sangat rapuh recommended,negative
saya menyesal dengan barang ini,sesal barang,negative
sellernya kotor dan payah,sellernya kotor payah,negative
produk kasar sekali,produk kasar sekali,negative
jangan beli di sini kurirnya sangat kecewa,jangan NOT_beli NOT_sini kurir sangat kecewa,negative
saya kecewa dengan kualitas ini,kecewa kualitas,negative
uang saya hilang kurir rapuh tidak ada solusi,uang hilang kurir rapuh ada solusi,negative
saya kecewa dengan seller ini,kecewa seller,negative
seller sangat buang uang tidak recommended,seller sangat buang uang recommended,negative
uang saya hilang packaging buang uang tidak ada solusi,uang hilang packaging buang uang ada solusi,negative
barang ini tidak puas,barang tidak NOT_puas,negative
seller sangat kotor tidak recommended,seller sangat kotor recommended,negative
saya kesal dengan kualitas ini,kesal kualitas,negative
produk ini kasar,produk kasar,negative
pengalaman memakai yang kasar,alam pakai kasar,negative
produk sangat mahal tidak recommended,produk sangat mahal recommended,negative
jangan beli di sini pelayanannya bau,jangan NOT_beli NOT_sini layan bau,negative
penipuan kualitas tidak sesuai deskripsi,tipu kualitas sesuai deskripsi,negative
rugi beli produk ini tidak puas banget,rugi beli produk tidak NOT_puas NOT_sangat,negative
kurir ini kacau,kurir kacau,negative
saya menyesal dengan toko ini,sesal toko,negative
barangnya mengecewakan dan rugi,barang kecewa rugi,negative
pengalaman memakai yang zonk,alam pakai zonk,negative
seller kabur pelayanan mahal,seller kabur layan mahal,negative
jangan beli di sini kualitasnya mudah rusak,jangan NOT_beli NOT_sini kualitas mudah rusak,negative
kualitas sangat payah tidak recommended,kualitas sangat payah recommended,negative
saya kesal dengan toko ini,kesal toko,negative
jangan beli di sini tokonya rusak,jangan NOT_beli NOT_sini toko rusak,negative
produk ini lemot,produk lot,negative
seller sangat payah tidak recommended,seller sangat payah recommended,negative
barang rugi pengiriman lama,barang rugi kirim lama,negative
rugi beli kurir ini rapuh banget,rugi beli kurir rapuh sangat,negative
sangat tidak puas dengan kurir ini,sangat puas kurir,negative
penipuan packaging tidak sesuai foto,tipu packaging sesuai foto,negative
rugi beli toko ini rugi banget,rugi beli toko rugi sangat,negative
seller sangat bobrok tidak recommended,seller sangat bobrok recommended,negative
sellernya jelek dan tidak berfungsi,sellernya jelek tidak NOT_fungsi,negative
rugi beli barang ini sangat kecewa banget,rugi beli barang sangat kecewa sangat,negative
barang tipis pengiriman telat,barang tipis kirim telat,negative
ini produk terburuk yang pernah saya coba,produk buruk pernah coba,negative
kurir datang dalam kondisi bobrok,kurir datang kondisi bobrok,negative
saya kesal dengan produk ini,kesal produk,negative
barang nyesel beli pengiriman lama,barang nyesel beli kirim lama,negative
kurir sangat mengecewakan tidak recommended,kurir sangat kecewa recommended,negative
sangat palsu semua dengan pengiriman ini,sangat palsu semua kirim,negative
kurir ini lambat,kurir lambat,negative
rugi beli bahan ini payah banget,rugi beli bahan payah sangat,negative
jangan beli di sini pengirimannya sangat kecewa,jangan NOT_beli NOT_sini kirim sangat kecewa,negative
kurir sangat nyesel beli tidak recommended,kurir sangat nyesel beli recommended,negative
sangat parah dengan pengiriman ini,sangat parah kirim,negative
kualitas sangat kw tidak recommended,kualitas sangat kw recommended,negative
pengalaman memakai yang rapuh,alam pakai rapuh,negative
sangat benar-benar kecewa dengan toko ini,sangat benarbenar kecewa toko,negative
rugi beli toko ini tidak berguna banget,rugi beli toko tidak NOT_guna NOT_sangat,negative
seller cuek kurir nyesel beli,seller cuek kurir nyesel beli,negative
saya kecewa dengan packaging ini,kecewa packaging,negative
packaging sangat tipu tidak recommended,packaging sangat tipu recommended,negative
packagingnya palsu dan buang uang,packagingnya palsu buang uang,negative
rugi beli seller ini tidak berguna banget,rugi beli seller tidak NOT_guna NOT_sangat,negative
packaging sangat kasar tidak recommended,packaging sangat kasar recommended,negative
kurir palsu semua sekali,kurir palsu semua sekali,negative
bahan sangat tidak puas tidak recommended,bahan sangat puas recommended,negative
ini kualitas terburuk yang pernah saya beli,kualitas buruk pernah beli,negative
produknya kasar dan menyesal,produk kasar sesal,negative
rugi beli seller ini abal-abal banget,rugi beli seller abalabal sangat,negative
sellernya palsu dan bohong,sellernya palsu bohong,negative
ini toko terburuk yang pernah saya punya,toko buruk pernah punya,negative
uang saya hilang toko amis tidak ada solusi,uang hilang toko amis ada solusi,negative
sangat mahal dengan kurir ini,sangat mahal kurir,negative
penipuan kurir tidak sesuai gambar,tipu kurir sesuai gambar,negative
saya kecewa dengan toko ini,kecewa toko,negative
saya kesal dengan pengiriman ini,kesal kirim,negative
barang ini sangat kecewa,barang sangat kecewa,negative
rugi beli seller ini mahal banget,rugi beli seller mahal sangat,negative
seller tidak responsif produk kacau,seller responsif produk kacau,negative
uang saya hilang pelayanan sangat kecewa tidak ada solusi,uang hilang layan sangat kecewa ada solusi,negative
seller bohong seller abal-abal,seller bohong seller abalabal,negative
saya menyesal dengan kualitas ini,sesal kualitas,negative
produknya menyesal dan abal-abal,produk sesal abalabal,negative
barang tipu pengiriman telat,barang tipu kirim telat,negative
penipuan produk tidak sesuai gambar,tipu produk sesuai gambar,negative
jangan beli di sini pelayanannya rusak,jangan NOT_beli NOT_sini layan rusak,negative
ini bahan terburuk yang pernah saya punya,bahan buruk pernah punya,negative
sangat kasar dengan produk ini,sangat kasar produk,negative
packaging ini bobrok,packaging bobrok,negative
barang mahal pengiriman sangat lama,barang mahal kirim sangat lama,negative
sellernya abal-abal dan gila jeleknya,sellernya abalabal gila jelek,negative
seller sangat lemot tidak recommended,seller sangat lot recommended,negative
pengirimannya lambat dan mudah rusak,kirim lambat mudah rusak,negative
sangat benar-benar kecewa dengan packaging ini,sangat benarbenar kecewa packaging,negative
penipuan pelayanan tidak sesuai gambar,tipu layan sesuai gambar,negative
barang palsu semua pengiriman lama,barang palsu semua kirim lama,negative
sangat zonk dengan bahan ini,sangat zonk bahan,negative
ini bahan terburuk yang pernah saya coba,bahan buruk pernah coba,negative
rugi beli barang ini tidak puas banget,rugi beli barang tidak NOT_puas NOT_sangat,negative
seller kabur pelayanan lemot,seller kabur layan lot,negative
pengalaman memakai yang kotor,alam pakai kotor,negative
packaging ini mengecewakan,packaging kecewa,negative
saya menyesal dengan packaging ini,sesal packaging,negative
rugi beli packaging ini ngaco banget,rugi beli packaging ngaco sangat,negative
kualitasnya kotor dan cacat,kualitas kotor cacat,negative
seller kabur seller tipis,seller kabur seller tipis,negative
sangat tidak puas dengan toko ini,sangat puas toko,negative
uang saya hilang packaging lambat tidak ada solusi,uang hilang packaging lambat ada solusi,negative
seller cuek kualitas zonk,seller cuek kualitas zonk,negative
saya kecewa dengan pelayanan ini,kecewa layan,negative
pengalaman belanja yang benar-benar kecewa,alam belanja benarbenar kecewa,negative
penipuan kurir tidak sesuai deskripsi,tipu kurir sesuai deskripsi,negative
jangan beli di sini tokonya nyesel beli,jangan NOT_beli NOT_sini toko nyesel beli,negative
toko datang dalam kondisi kw,toko datang kondisi kw,negative
ini pengiriman terburuk yang pernah saya beli,kirim buruk pernah beli,negative
seller kabur toko tidak worth it,seller kabur toko worth it,negative
kualitas sangat kecewa tidak recommended,kualitas sangat kecewa recommended,negative
uang saya hilang kurir lambat tidak ada solusi,uang hilang kurir lambat ada solusi,negative
toko ini rugi,toko rugi,negative
pengiriman ngaco sekali,kirim ngaco sekali,negative
pengalaman belanja yang rugi,alam belanja rugi,negative
sangat rugi dengan bahan ini,sangat rugi bahan,negative
pengalaman belanja yang kacau,alam belanja kacau,negative
pengalaman memakai yang jelek,alam pakai jelek,negative
jangan beli di sini packagingnya buruk,jangan NOT_beli NOT_sini packagingnya buruk,negative
penipuan pengiriman tidak sesuai foto,tipu kirim sesuai foto,negative
produk sangat buruk sekali,produk sangat buruk sekali,negative
rugi beli barang ini gila jeleknya banget,rugi beli barang gila jelek sangat,negative
barang ini nyesel beli,barang nyesel beli,negative
packaging ini sangat kecewa,packaging sangat kecewa,negative
sangat lemot dengan bahan ini,sangat lot bahan,negative
rugi beli bahan ini tidak worth it banget,rugi beli bahan tidak NOT_worth NOT_it sangat,negative
toko lemot sekali,toko lot sekali,negative
seller cuek barang sampah,seller cuek barang sampah,negative
bahan sangat parah tidak recommended,bahan sangat parah recommended,negative
sangat tipu dengan produk ini,sangat tipu produk,negative
produk datang dalam kondisi tipis,produk datang kondisi tipis,negative
pengalaman memakai yang gila jeleknya,alam pakai gila jelek,negative
jangan beli di sini pengirimannya kotor,jangan NOT_beli NOT_sini kirim kotor,negative
pengalaman memakai yang payah,alam pakai payah,negative
pengirimannya lambat dan rusak,kirim lambat rusak,negative
bahan datang dalam kondisi zonk,bahan datang kondisi zonk,negative
produk datang dalam kondisi kotor,produk datang kondisi kotor,negative
saya kecewa dengan barang ini,kecewa barang,negative
barang rusak pengiriman sangat lama,barang rusak kirim sangat lama,negative
barang palsu semua pengiriman telat,barang palsu semua kirim telat,negative
penipuan produk tidak sesuai deskripsi,tipu produk sesuai deskripsi,negative
pengalaman belanja yang gila jeleknya,alam belanja gila jelek,negative
ini kurir terburuk yang pernah saya punya,kurir buruk pernah punya,negative
barang amburadul pengiriman telat,barang amburadul kirim telat,negative
pelayanannya kw dan parah,layan kw parah,negative
produknya kacau dan ngaco,produk kacau ngaco,negative
uang saya hilang pelayanan tidak jelas tidak ada solusi,uang hilang layan jelas ada solusi,negative
seller bohong toko buang uang,seller bohong toko buang uang,negative
kualitas ini abal-abal,kualitas abalabal,negative
seller bohong toko rapuh,seller bohong toko rapuh,negative
penipuan bahan tidak sesuai deskripsi,tipu bahan sesuai deskripsi,negative
sangat tipis dengan bahan ini,sangat tipis bahan,negative
sangat gila jeleknya dengan seller ini,sangat gila jelek seller,negative
ini pelayanan terburuk yang pernah saya punya,layan buruk pernah punya,negative
uang saya hilang produk kacau tidak ada solusi,uang hilang produk kacau ada solusi,negative
jangan beli di sini bahannya kacau,jangan NOT_beli NOT_sini bahan kacau,negative
pelayanan sangat mengecewakan tidak recommended,layan sangat kecewa recommended,negative
saya menyesal dengan pengiriman ini,sesal kirim,negative
rugi beli barang ini tidak worth it banget,rugi beli barang tidak NOT_worth NOT_it sangat,negative
pengiriman sangat cacat tidak recommended,kirim sangat cacat recommended,negative
bahannya palsu semua dan amburadul,bahan palsu semua amburadul,negative
barang rusak pengiriman lama,barang rusak kirim lama,negative
uang saya hilang produk palsu tidak ada solusi,uang hilang produk palsu ada solusi,negative
uang saya hilang pengiriman lambat tidak ada solusi,uang hilang kirim lambat ada solusi,negative
penipuan kurir tidak sesuai foto,tipu kurir sesuai foto,negative
kualitas sangat kasar tidak recommended,kualitas sangat kasar recommended,negative
jangan beli di sini sellernya gila jeleknya,jangan NOT_beli NOT_sini sellernya gila jelek,negative
seller cuek packaging bau,seller cuek packaging bau,negative
rugi beli toko ini buang uang banget,rugi beli toko buang uang sangat,negative
pengalaman belanja yang nyesel beli,alam belanja nyesel beli,negative
kualitas datang dalam kondisi palsu,kualitas datang kondisi palsu,negative
rugi beli kualitas ini sangat kecewa banget,rugi beli kualitas sangat kecewa sangat,negative
kurir ini tipu,kurir tipu,negative
tokonya ngaco dan ngaco,toko ngaco ngaco,negative
sangat bohong dengan kualitas ini,sangat bohong kualitas,negative
saya menyesal dengan kurir ini,sesal kurir,negative
ini pengiriman terburuk yang pernah saya punya,kirim buruk pernah punya,negative
kualitas sangat bau tidak recommended,kualitas sangat bau recommended,negative
seller datang dalam kondisi abal-abal,seller datang kondisi abalabal,negative
penipuan seller tidak sesuai deskripsi,tipu seller sesuai deskripsi,negative
sangat tidak berguna dengan pelayanan ini,sangat guna layan,negative
sangat gila jeleknya dengan produk ini,sangat gila jelek produk,negative
produk sangat kecewa tidak recommended,produk sangat kecewa recommended,negative
jangan beli di sini pelayanannya tidak jelas,jangan NOT_beli NOT_sini layan jelas,negative
pengiriman ini rugi,kirim rugi,negative
pengalaman memakai yang cacat,alam pakai cacat,negative
barang tidak jelas pengiriman telat,barang jelas kirim telat,negative
uang saya hilang kurir nyesel beli tidak ada solusi,uang hilang kurir nyesel beli ada solusi,negative
seller bohong produk buruk,seller bohong produk buruk,negative
toko sangat sangat kecewa tidak recommended,toko sangat sangat kecewa recommended,negative
produk ini parah,produk parah,negative
produknya rugi dan palsu semua,produk rugi palsu semua,negative
jangan beli di sini pelayanannya mahal,jangan NOT_beli NOT_sini layan mahal,negative
uang saya hilang barang parah tidak ada solusi,uang hilang barang parah ada solusi,negative
sangat kotor dengan pengiriman ini,sangat kotor kirim,negative
barang parah pengiriman sangat lama,barang parah kirim sangat lama,negative
bahan datang dalam kondisi menyesal,bahan datang kondisi sesal,negative
rugi beli bahan ini benar-benar kecewa banget,rugi beli bahan benarbenar kecewa sangat,negative
barang kotor pengiriman telat,barang kotor kirim telat,negative
seller kabur barang tidak puas,seller kabur barang puas,negative
pengalaman belanja yang tidak jelas,alam belanja tidak NOT_jelas,negative
pelayanan ini menyesal,layan sesal,negative
kualitas datang dalam kondisi bobrok,kualitas datang kondisi bobrok,negative
ini barang terburuk yang pernah saya coba,barang buruk pernah coba,negative
uang saya hilang produk tipu tidak ada solusi,uang hilang produk tipu ada solusi,negative
saya kesal dengan kurir ini,kesal kurir,negative
pengalaman memakai yang rusak,alam pakai rusak,negative
uang saya hilang barang palsu semua tidak ada solusi,uang hilang barang palsu semua ada solusi,negative
uang saya hilang packaging gila jeleknya tidak ada solusi,uang hilang packaging gila jelek ada solusi,negative
barang kw pengiriman lama,barang kw kirim lama,negative
sangat rapuh dengan produk ini,sangat rapuh produk,negative
saya kesal dengan pelayanan ini,kesal layan,negative
bahan datang dalam kondisi kecewa,bahan datang kondisi kecewa,negative
pelayanannya bobrok dan kotor,layan bobrok kotor,negative
barang mengecewakan pengiriman telat,barang kecewa kirim telat,negative
uang saya hilang toko mudah rusak tidak ada solusi,uang hilang toko mudah rusak ada solusi,negative
jangan beli di sini pelayanannya menyesal,jangan NOT_beli NOT_sini layan sesal,negative
kualitas sangat cacat tidak recommended,kualitas sangat cacat recommended,negative
bahan tipu sekali,bahan tipu sekali,negative
ini barang terburuk yang pernah saya punya,barang buruk pernah punya,negative
barang zonk pengiriman telat,barang zonk kirim telat,negative
jangan beli di sini kualitasnya jelek,jangan NOT_beli NOT_sini kualitas jelek,negative
seller cuek seller buang uang,seller cuek seller buang uang,negative
jangan beli di sini bahannya sampah,jangan NOT_beli NOT_sini bahan sampah,negative
seller bohong barang zonk,seller bohong barang zonk,negative
pengirimannya kecewa dan menyesal,kirim kecewa sesal,negative
pelayanannya mengecewakan dan tidak jelas,layan kecewa tidak NOT_jelas,negative
sangat mengecewakan dengan kualitas ini,sangat kecewa kualitas,negative
rugi beli barang ini menyesal banget,rugi beli barang sesal sangat,negative
packaging ini tidak worth it,packaging tidak NOT_worth NOT_it,negative
rugi beli packaging ini mahal banget,rugi beli packaging mahal sangat,negative
sangat menyesal dengan pelayanan ini,sangat sesal layan,negative
jangan beli di sini sellernya kacau,jangan NOT_beli NOT_sini sellernya kacau,negative
produk menyesal sekali,produk sesal sekali,negative
rugi beli toko ini menyesal banget,rugi beli toko sesal sangat,negative
barang amburadul pengiriman sangat lama,barang amburadul kirim sangat lama,negative
ini bahan terburuk yang pernah saya beli,bahan buruk pernah beli,negative
bahannya mengecewakan dan menyesal,bahan kecewa sesal,negative
penipuan toko tidak sesuai gambar,tipu toko sesuai gambar,negative
barang parah pengiriman lama,barang parah kirim lama,negative
seller bohong pelayanan lemot,seller bohong layan lot,negative
packagingnya amis dan buang uang,packagingnya amis buang uang,negative
sangat kecewa dengan pelayanan ini,sangat kecewa layan,negative
jangan beli di sini packagingnya sangat kecewa,jangan NOT_beli NOT_sini packagingnya sangat kecewa,negative
sellernya kecewa dan tidak berfungsi,sellernya kecewa tidak NOT_fungsi,negative
pengirimannya tidak jelas dan buang uang,kirim jelas buang uang,negative
barang zonk pengiriman lama,barang zonk kirim lama,negative
pengalaman belanja yang lemot,alam belanja lot,negative
produknya tidak puas dan mudah rusak,produk puas mudah rusak,negative
kualitas datang dalam kondisi tidak worth it,kualitas datang kondisi worth it,negative
rugi beli bahan ini abal-abal banget,rugi beli bahan abalabal sangat,negative
barang lemot pengiriman sangat lama,barang lot kirim sangat lama,negative
rugi beli kurir ini bohong banget,rugi beli kurir bohong sangat,negative
pengalaman memakai yang sampah,alam pakai sampah,negative
jangan beli di sini kualitasnya kasar,jangan NOT_beli NOT_sini kualitas kasar,negative
pengiriman datang dalam kondisi rapuh,kirim datang kondisi rapuh,negative
jangan beli di sini packagingnya tidak puas,jangan NOT_beli NOT_sini packagingnya puas,negative
rugi beli barang ini bobrok banget,rugi beli barang bobrok sangat,negative
sangat palsu semua dengan toko ini,sangat palsu semua toko,negative
seller ini palsu,seller palsu,negative
pengalaman memakai yang kecewa,alam pakai kecewa,negative
pengirimannya bau dan kw,kirim bau kw,negative
sangat sangat buruk dengan bahan ini,sangat sangat buruk bahan,negative
seller amburadul sekali,seller amburadul sekali,negative
bahan sangat gila jeleknya tidak recommended,bahan sangat gila jelek recommended,negative
kualitas ini gila jeleknya,kualitas gila jelek,negative
pengiriman kw sekali,kirim kw sekali,negative
seller cuek pelayanan abal-abal,seller cuek layan abalabal,negative
barang rusak pengiriman telat,barang rusak kirim telat,negative
seller bohong kualitas sangat buruk,seller bohong kualitas sangat buruk,negative
produk mahal sekali,produk mahal sekali,negative
pengirimannya rugi dan parah,kirim rugi parah,negative
kurir sangat bobrok tidak recommended,kurir sangat bobrok recommended,negative
jangan beli di sini sellernya palsu semua,jangan NOT_beli NOT_sini sellernya palsu semua,negative
rugi beli produk ini nyesel beli banget,rugi beli produk nyesel beli sangat,negative
packaging sangat kecewa sekali,packaging sangat kecewa sekali,negative
uang saya hilang barang lambat tidak ada solusi,uang hilang barang lambat ada solusi,negative
kualitasnya benar-benar kecewa dan palsu,kualitas benarbenar kecewa palsu,negative
seller sangat tidak berguna tidak recommended,seller sangat guna recommended,negative
packaging rusak sekali,packaging rusak sekali,negative
barang datang dalam kondisi jelek,barang datang kondisi jelek,negative
pelayanan kotor sekali,layan kotor sekali,negative
pelayanan sangat kacau tidak recommended,layan sangat kacau recommended,negative
sangat mudah rusak dengan toko ini,sangat mudah rusak toko,negative
jangan beli di sini sellernya tipu,jangan NOT_beli NOT_sini sellernya tipu,negative
bahan datang dalam kondisi tidak jelas,bahan datang kondisi jelas,negative
sangat sampah dengan bahan ini,sangat sampah bahan,negative
jangan beli di sini produknya zonk,jangan NOT_beli NOT_sini produk zonk,negative
uang saya hilang pengiriman tidak worth it tidak ada solusi,uang hilang kirim worth it ada solusi,negative
barang sangat buruk pengiriman sangat lama,barang sangat buruk kirim sangat lama,negative
pengiriman ini palsu,kirim palsu,negative
barangnya bobrok dan mahal,barang bobrok mahal,negative
toko datang dalam kondisi sampah,toko datang kondisi sampah,negative
rugi beli kualitas ini bohong banget,rugi beli kualitas bohong sangat,negative
pengalaman belanja yang bau,alam belanja bau,negative
seller bohong toko tidak jelas,seller bohong toko jelas,negative
rugi beli kurir ini mengecewakan banget,rugi beli kurir kecewa sangat,negative
barang tidak puas pengiriman telat,barang puas kirim telat,negative
kualitas tidak berguna sekali,kualitas guna sekali,negative
ini seller terburuk yang pernah saya coba,seller buruk pernah coba,negative
sangat palsu semua dengan packaging ini,sangat palsu semua packaging,negative
uang saya hilang kurir ngaco tidak ada solusi,uang hilang kurir ngaco ada solusi,negative
pengiriman tipis sekali,kirim tipis sekali,negative
pelayanan tidak berfungsi sekali,layan fungsi sekali,negative
penipuan pelayanan tidak sesuai foto,tipu layan sesuai foto,negative
jangan beli di sini bahannya amburadul,jangan NOT_beli NOT_sini bahan amburadul,negative
sangat bobrok dengan bahan ini,sangat bobrok bahan,negative
jangan beli di sini pelayanannya buang uang,jangan NOT_beli NOT_sini layan buang uang,negative
seller tidak responsif toko teruk,seller responsif toko teruk,negative
pengalaman memakai yang lemot,alam pakai lot,negative
sangat rapuh dengan seller ini,sangat rapuh seller,negative
barang cacat pengiriman sangat lama,barang cacat kirim sangat lama,negative
seller ini lemot,seller lot,negative
seller sangat sangat kecewa tidak recommended,seller sangat sangat kecewa recommended,negative
seller bohong bahan tidak worth it,seller bohong bahan worth it,negative
pengalaman belanja yang menyesal,alam belanja sesal,negative
barang jelek pengiriman lama,barang jelek kirim lama,negative
produknya amis dan tipu,produk amis tipu,negative
packaging sangat teruk tidak recommended,packaging sangat teruk recommended,negative
seller datang dalam kondisi bobrok,seller datang kondisi bobrok,negative
barang sangat bobrok tidak recommended,barang sangat bobrok recommended,negative
packaging gila jeleknya sekali,packaging gila jelek sekali,negative
pengalaman belanja yang sangat buruk,alam belanja sangat buruk,negative
ini produk terburuk yang pernah saya punya,produk buruk pernah punya,negative
kualitasnya menyesal dan tidak worth it,kualitas sesal tidak NOT_worth NOT_it,negative
ini barang terburuk yang pernah saya beli,barang buruk pernah beli,negative
penipuan kualitas tidak sesuai foto,tipu kualitas sesuai foto,negative
barang tidak jelas pengiriman sangat lama,barang jelas kirim sangat lama,negative
sangat zonk dengan pelayanan ini,sangat zonk layan,negative
pengiriman datang dalam kondisi palsu,kirim datang kondisi palsu,negative
produk datang dalam kondisi bobrok,produk datang kondisi bobrok,negative
rugi beli toko ini amis banget,rugi beli toko amis sangat,negative
rugi beli packaging ini kasar banget,rugi beli packaging kasar sangat,negative
barang amis pengiriman telat,barang amis kirim telat,negative
uang saya hilang barang lemot tidak ada solusi,uang hilang barang lot ada solusi,negative
bahan datang dalam kondisi cacat,bahan datang kondisi cacat,negative
pelayanannya lemot dan kotor,layan lot kotor,negative
sangat rapuh dengan pengiriman ini,sangat rapuh kirim,negative
bahan datang dalam kondisi buang uang,bahan datang kondisi buang uang,negative
sangat bobrok dengan packaging ini,sangat bobrok packaging,negative
barang tidak puas sekali,barang puas sekali,negative
packaging sangat tidak berfungsi tidak recommended,packaging sangat fungsi recommended,negative
barang buruk pengiriman telat,barang buruk kirim telat,negative
seller tidak jelas sekali,seller jelas sekali,negative
seller cuek barang gila jeleknya,seller cuek barang gila jelek,negative
jangan beli di sini pengirimannya sangat buruk,jangan NOT_beli NOT_sini kirim sangat buruk,negative
kualitasnya kasar dan mudah rusak,kualitas kasar mudah rusak,negative
kurir sangat lemot tidak recommended,kurir sangat lot recommended,negative
barang buang uang pengiriman sangat lama,barang buang uang kirim sangat lama,negative
uang saya hilang produk rusak tidak ada solusi,uang hilang produk rusak ada solusi,negative
seller jelek sekali,seller jelek sekali,negative
pelayanan tidak worth it sekali,layan worth it sekali,negative
uang saya hilang packaging teruk tidak ada solusi,uang hilang packaging teruk ada solusi,negative
ini packaging terburuk yang pernah saya beli,packaging buruk pernah beli,negative
seller cuek packaging menyesal,seller cuek packaging sesal,negative
rugi beli pelayanan ini cacat banget,rugi beli layan cacat sangat,negative
jangan beli di sini packagingnya tipu,jangan NOT_beli NOT_sini packagingnya tipu,negative
jangan beli di sini barangnya mahal,jangan NOT_beli NOT_sini barang mahal,negative
pengiriman ini nyesel beli,kirim nyesel beli,negative
pelayanan ngaco sekali,layan ngaco sekali,negative
saya kesal dengan seller ini,kesal seller,negative
produk ini mudah rusak,produk mudah rusak,negative
pengiriman mengecewakan sekali,kirim kecewa sekali,negative
barang mahal sekali,barang mahal sekali,negative
rugi beli kualitas ini tipis banget,rugi beli kualitas tipis sangat,negative
sangat mengecewakan dengan pelayanan ini,sangat kecewa layan,negative
seller tidak responsif barang parah,seller responsif barang parah,negative
seller tidak responsif seller tidak berguna,seller responsif seller guna,negative
barang palsu semua pengiriman sangat lama,barang palsu semua kirim sangat lama,negative
barang datang dalam kondisi ngaco,barang datang kondisi ngaco,negative
jangan beli di sini kualitasnya lemot,jangan NOT_beli NOT_sini kualitas lot,negative
produk datang dalam kondisi kw,produk datang kondisi kw,negative
uang saya hilang packaging palsu tidak ada solusi,uang hilang packaging palsu ada solusi,negative
kurir sangat rugi tidak recommended,kurir sangat rugi recommended,negative
saya kesal dengan bahan ini,kesal bahan,negative
produknya kotor dan buang uang,produk kotor buang uang,negative
jangan beli di sini barangnya kotor,jangan NOT_beli NOT_sini barang kotor,negative
pengalaman belanja yang parah,alam belanja parah,negative
uang saya hilang produk tidak berfungsi tidak ada solusi,uang hilang produk fungsi ada solusi,negative
uang saya hilang kualitas lemot tidak ada solusi,uang hilang kualitas lot ada solusi,negative
rugi beli toko ini palsu semua banget,rugi beli toko palsu semua sangat,negative
sangat nyesel beli dengan barang ini,sangat nyesel beli barang,negative
kurir ini kecewa,kurir kecewa,negative
packaging ini palsu,packaging palsu,negative
produk ini tidak puas,produk tidak NOT_puas,negative
packaging sangat tidak jelas tidak recommended,packaging sangat jelas recommended,negative
penipuan toko tidak sesuai deskripsi,tipu toko sesuai deskripsi,negative
jangan beli di sini bahannya menyesal,jangan NOT_beli NOT_sini bahan sesal,negative
seller tidak responsif packaging menyesal,seller responsif packaging sesal,negative
barangnya rugi dan palsu,barang rugi palsu,negative
pelayanan datang dalam kondisi gila jeleknya,layan datang kondisi gila jelek,negative
rugi beli bahan ini ngaco banget,rugi beli bahan ngaco sangat,negative
seller kabur packaging sangat buruk,seller kabur packaging sangat buruk,negative
penipuan pengiriman tidak sesuai gambar,tipu kirim sesuai gambar,negative
saya kecewa dengan bahan ini,kecewa bahan,negative
seller zonk sekali,seller zonk sekali,negative
seller tidak responsif barang buruk,seller responsif barang buruk,negative
rugi beli toko ini parah banget,rugi beli toko parah sangat,negative
packaging datang dalam kondisi teruk,packaging datang kondisi teruk,negative
rugi beli pelayanan ini amis banget,rugi beli layan amis sangat,negative
penipuan barang tidak sesuai gambar,tipu barang sesuai gambar,negative
rugi beli bahan ini amis banget,rugi beli bahan amis sangat,negative
barang sangat bau tidak recommended,barang sangat bau recommended,negative
seller benar-benar kecewa sekali,seller benarbenar kecewa sekali,negative
pengalaman belanja yang tidak berfungsi,alam belanja tidak NOT_fungsi,negative
sangat bau dengan barang ini,sangat bau barang,negative
